timestamp,rnti,e2_node,f1ap,slice_sd,slice_name,cqi,ri,dl_mcs,ul_mcs,pusch_snr_db,pusch_rsrp_db,phr,dl_brate_bps,ul_brate_bps,dl_nof_ok,dl_nof_nok,dl_latency_us,ul_latency_us,prb_min,prb_max,alloc_req_bps,sla_dl_target_bps,bler_dl,sla_dl_sat
1782461103.478,17922,gnbd_001_001_00000213_1,0,3,BUSINESS,15,1,28,6,6.0,-0.3,0,376600.0,169352.0,23,0,0,0,,,,20000000,0.0,0.0188
1782461103.478,17923,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,7,7.3,-0.3,0,792104.0,2863600.0,126,0,0,0,,,,356000,0.0,2.225
1782461103.478,17924,gnbd_001_001_00000213_1,2,2,PERFORMANCE,15,1,28,8,8.0,-0.2,0,1064776.0,3150520.0,99,0,0,0,,,,311000,0.0,3.4237
1782461104.479,17922,gnbd_001_001_00000213_1,0,3,BUSINESS,13,1,28,8,7.7,-0.1,0,227904.0,113888.0,24,0,0,0,,,,20000000,0.0,0.0114
1782461104.479,17923,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,8,7.5,-0.3,0,1057528.0,2808920.0,129,0,0,0,,,,356000,0.0,2.9706
1782461104.479,17924,gnbd_001_001_00000213_1,2,2,PERFORMANCE,15,1,28,7,7.7,-0.2,0,1703256.0,2993400.0,98,0,0,0,,,,311000,0.0,5.4767
1782461105.479,17922,gnbd_001_001_00000213_1,0,3,BUSINESS,9,1,28,5,4.9,-0.3,0,540744.0,190312.0,25,0,0,0,,,,20000000,0.0,0.027
1782461105.479,17923,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,7,7.2,-0.3,0,695936.0,2629032.0,128,0,0,0,,,,356000,0.0,1.9549
1782461105.479,17924,gnbd_001_001_00000213_1,2,2,PERFORMANCE,12,1,28,8,8.1,-0.2,0,589096.0,3090056.0,99,0,0,0,,,,311000,0.0,1.8942
1782461106.48,17922,gnbd_001_001_00000213_1,0,3,BUSINESS,15,1,28,6,6.1,-0.2,0,265152.0,143608.0,23,0,0,0,,,,20000000,0.0,0.0133
1782461106.48,17923,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,7,7.3,-0.3,0,1312352.0,2720768.0,124,0,0,0,,,,356000,0.0,3.6864
1782461106.48,17924,gnbd_001_001_00000213_1,2,2,PERFORMANCE,15,1,28,8,8.0,-0.2,0,1001064.0,3031880.0,95,0,0,0,,,,311000,0.0,3.2189
1782461107.481,17922,gnbd_001_001_00000213_1,0,3,BUSINESS,15,1,27,5,5.9,-0.2,0,450920.0,179168.0,24,0,0,0,,,,20000000,0.0,0.0225
1782461107.481,17923,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,8,7.7,-0.2,0,751648.0,2985944.0,127,0,0,0,,,,356000,0.0,2.1114
1782461107.481,17924,gnbd_001_001_00000213_1,2,2,PERFORMANCE,15,1,28,8,7.9,-0.2,0,833680.0,2922760.0,96,0,0,0,,,,311000,0.0,2.6806
1782461108.48,17922,gnbd_001_001_00000213_1,0,3,BUSINESS,15,1,28,6,6.7,-0.1,0,261312.0,135136.0,24,0,0,0,,,,20000000,0.0,0.0131
1782461108.48,17923,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,7,7.3,-0.3,0,1362656.0,2806200.0,124,0,0,0,,,,356000,0.0,3.8277
1782461108.48,17924,gnbd_001_001_00000213_1,2,2,PERFORMANCE,15,1,28,8,7.9,-0.2,0,1120816.0,3078880.0,102,0,0,0,,,,311000,0.0,3.6039
1782461109.481,17922,gnbd_001_001_00000213_1,0,3,BUSINESS,15,1,28,6,6.8,-0.0,0,262079.99999999997,135032.0,24,0,0,0,,,,20000000,0.0,0.0131
1782461109.481,17923,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,7,7.2,-0.3,0,1396728.0,2918600.0,127,0,0,0,,,,356000,0.0,3.9234
1782461109.481,17924,gnbd_001_001_00000213_1,2,2,PERFORMANCE,15,1,28,8,7.8,-0.2,0,1074192.0,3129000.0,98,0,0,0,,,,311000,0.0,3.454
1782461110.482,17922,gnbd_001_001_00000213_1,0,3,BUSINESS,15,1,28,6,6.9,-0.1,0,247592.0,133808.0,24,0,0,0,,,,20000000,0.0,0.0124
1782461110.482,17923,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,7,7.2,-0.3,0,1508192.0,2771272.0,126,0,0,0,,,,356000,0.0,4.2365
1782461110.482,17924,gnbd_001_001_00000213_1,2,2,PERFORMANCE,15,1,28,8,8.0,-0.2,0,1076256.0,3029992.0,101,0,0,0,,,,311000,0.0,3.4606
1782461111.483,17922,gnbd_001_001_00000213_1,0,3,BUSINESS,15,1,28,8,8.7,0,0,172544.0,113400.0,24,0,0,0,,,,20000000,0.0,0.0086
1782461111.483,17923,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,7,7.5,-0.3,0,2168512.0,2868912.0,126,0,0,0,,,,356000,0.0,6.0913
1782461111.483,17924,gnbd_001_001_00000213_1,2,2,PERFORMANCE,15,1,28,7,7.8,-0.2,0,947176.0,3022072.0,95,0,0,0,,,,311000,0.0,3.0456
1782461112.483,17922,gnbd_001_001_00000213_1,0,3,BUSINESS,15,1,28,8,7.7,-0.0,0,271784.0,137504.0,24,0,0,0,,,,20000000,0.0,0.0136
1782461112.483,17923,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,7,7.4,-0.3,0,995496.0,2848840.0,126,0,0,0,,,,356000,0.0,2.7963
1782461112.483,17924,gnbd_001_001_00000213_1,2,2,PERFORMANCE,15,1,28,8,7.8,-0.2,0,1635496.0,2982240.0,98,0,0,0,,,,311000,0.0,5.2588
1782461113.484,17922,gnbd_001_001_00000213_1,0,3,BUSINESS,15,1,28,6,5.6,-0.3,0,495664.0,169680.0,25,0,0,0,,,,20000000,0.0,0.0248
1782461113.484,17923,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,7,7.4,-0.3,0,803360.0,2911248.0,129,0,0,0,,,,356000,0.0,2.2566
1782461113.484,17924,gnbd_001_001_00000213_1,2,2,PERFORMANCE,15,1,28,8,8.0,-0.1,0,899080.0,3094472.0,99,0,0,0,,,,311000,0.0,2.8909
1782461114.484,17922,gnbd_001_001_00000213_1,0,3,BUSINESS,15,1,28,7,7.7,-0.1,0,279680.0,144704.0,24,0,0,0,,,,20000000,0.0,0.014
1782461114.484,17923,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,8,7.5,-0.2,0,978768.0,2888416.0,128,0,0,0,,,,356000,0.0,2.7493
1782461114.484,17924,gnbd_001_001_00000213_1,2,2,PERFORMANCE,15,1,28,8,7.8,-0.2,0,1483672.0,3064400.0,96,0,0,0,,,,311000,0.0,4.7706
1782461115.485,17922,gnbd_001_001_00000213_1,0,3,BUSINESS,15,1,28,6,6.3,-0.2,0,380968.0,171168.0,23,0,0,0,,,,20000000,0.0,0.019
1782461115.485,17923,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,7,7.3,-0.3,0,1012488.0,2804584.0,131,0,0,0,,,,356000,0.0,2.8441
