ts,step,epsilon,loss,mean_q
11:13:10,266,0.6081,0.0319,2.6982
11:13:11,267,0.6069,0.0385,2.7606
11:13:12,268,0.6058,0.0430,2.7697
11:13:13,269,0.6047,0.0593,2.7875
11:13:14,270,0.6036,0.0607,2.7892
11:13:15,271,0.6025,0.0664,2.7918
11:13:16,272,0.6014,0.0558,2.7788
11:13:17,273,0.6003,0.0468,2.7452
11:13:19,274,0.5992,0.0347,2.7096
11:13:20,275,0.5981,0.0336,2.6707
11:13:21,276,0.5970,0.0204,2.6374
11:13:22,277,0.5959,0.0210,2.5870
11:13:23,278,0.5948,0.0152,2.5389
11:13:24,279,0.5937,0.0151,2.4902
11:13:25,280,0.5926,0.0095,2.4539
11:13:26,281,0.5916,0.0126,2.4113
11:13:27,282,0.5905,0.0257,2.4122
11:13:28,283,0.5894,0.0222,2.3814
11:13:29,284,0.5883,0.0171,2.3723
11:13:30,285,0.5872,0.0275,2.3684
11:13:31,286,0.5862,0.0236,2.3525
11:13:32,287,0.5851,0.0208,2.3527
11:13:33,288,0.5840,0.0248,2.3830
11:13:34,289,0.5830,0.0180,2.3607
11:13:35,290,0.5819,0.0292,2.3828
11:13:36,291,0.5808,0.0170,2.3960
11:13:37,292,0.5798,0.0217,2.4241
11:13:38,293,0.5787,0.0135,2.4323
11:13:39,294,0.5777,0.0151,2.4373
11:13:40,295,0.5766,0.0252,2.4502
11:13:41,296,0.5756,0.0121,2.4756
11:13:42,297,0.5745,0.0221,2.4865
11:13:43,298,0.5735,0.0248,2.4922
11:13:44,299,0.5724,0.0237,2.5185
11:13:45,300,0.5714,0.0154,2.5273
11:13:46,301,0.5703,0.2360,2.5478
11:13:47,302,0.5693,0.2224,2.5840
11:13:48,303,0.5683,0.2048,2.6157
11:13:49,304,0.5672,0.1868,2.6609
11:13:50,305,0.5662,0.1450,2.7074
11:13:51,306,0.5652,0.1006,2.7764
11:13:52,307,0.5641,0.1059,2.8470
11:13:53,308,0.5631,0.0526,2.9187
11:13:54,309,0.5621,0.0556,2.9994
11:13:55,310,0.5610,0.0317,3.0805
11:13:56,311,0.5600,0.0222,3.1445
11:13:57,312,0.5590,0.0294,3.2165
11:13:58,313,0.5580,0.0258,3.2797
11:13:59,314,0.5570,0.0442,3.3409
11:14:00,315,0.5560,0.0471,3.3669
11:14:01,316,0.5550,0.0557,3.3936
11:14:02,317,0.5539,0.0508,3.3930
11:14:03,318,0.5529,0.0480,3.3927
11:14:04,319,0.5519,0.0372,3.3740
11:14:05,320,0.5509,0.0324,3.3543
11:14:06,321,0.5499,0.0274,3.3270
11:14:07,322,0.5489,0.0238,3.2962
11:14:09,323,0.5479,0.0216,3.2653
11:14:10,324,0.5469,0.0213,3.2194
11:14:11,325,0.5459,0.0155,3.1774
11:14:12,326,0.5450,0.0168,3.1340
11:14:13,327,0.5440,0.0115,3.1122
11:14:14,328,0.5430,0.0136,3.1073
11:14:15,329,0.5420,0.0200,3.0727
11:14:16,330,0.5410,0.0203,3.0715
11:14:17,331,0.5400,0.0155,3.0482
11:14:18,332,0.5390,0.0150,3.0374
11:14:19,333,0.5381,0.0168,3.0554
11:14:20,334,0.5371,0.0219,3.0476
11:14:21,335,0.5361,0.0155,3.0535
11:14:22,336,0.5352,0.0156,3.0547
11:14:23,337,0.5342,0.0176,3.0870
11:14:24,338,0.5332,0.0132,3.0855
11:14:25,339,0.5322,0.0152,3.1119
11:14:26,340,0.5313,0.0135,3.1264
11:14:27,341,0.5303,0.0140,3.1387
11:14:28,342,0.5294,0.0171,3.1601
11:14:29,343,0.5284,0.0128,3.1598
11:14:30,344,0.5275,0.0158,3.1802
11:14:31,345,0.5265,0.0090,3.1868
11:14:32,346,0.5255,0.0170,3.1868
11:14:33,347,0.5246,0.0146,3.2000
11:14:34,348,0.5236,0.0177,3.1902
11:14:35,349,0.5227,0.0203,3.1904
11:14:36,350,0.5218,0.0216,3.1885
11:14:37,351,0.5208,0.1650,3.1760
11:14:38,352,0.5199,0.1659,3.1899
11:14:39,353,0.5189,0.1551,3.2051
11:14:40,354,0.5180,0.1550,3.2305
11:14:41,355,0.5171,0.1197,3.2702
11:14:42,356,0.5161,0.0977,3.3123
11:14:43,357,0.5152,0.0923,3.3731
11:14:44,358,0.5143,0.0713,3.4201
11:14:45,359,0.5133,0.0303,3.4857
11:14:46,360,0.5124,0.0185,3.5392
11:14:47,361,0.5115,0.0140,3.6103
11:14:48,362,0.5106,0.0182,3.6791
11:14:49,363,0.5096,0.0148,3.7294
11:14:50,364,0.5087,0.0186,3.7569
11:14:51,365,0.5078,0.0191,3.8095
11:14:52,366,0.5069,0.0272,3.8353
11:14:53,367,0.5060,0.0300,3.8569
11:14:54,368,0.5051,0.0264,3.8604
11:14:55,369,0.5042,0.0233,3.8787
11:14:56,370,0.5033,0.0218,3.8589
11:14:57,371,0.5024,0.0250,3.8565
11:14:58,372,0.5014,0.0216,3.8501
11:15:00,373,0.5005,0.0195,3.8284
11:15:01,374,0.4996,0.0180,3.8040
11:15:02,375,0.4987,0.0157,3.7794
11:15:03,376,0.4979,0.0124,3.7617
11:15:04,377,0.4970,0.0160,3.7317
11:15:05,378,0.4961,0.0106,3.7083
11:15:06,379,0.4952,0.0161,3.6876
11:15:07,380,0.4943,0.0185,3.6821
11:15:08,381,0.4934,0.0115,3.6540
11:15:09,382,0.4925,0.0092,3.6491
11:15:10,383,0.4916,0.0139,3.6356
11:15:11,384,0.4907,0.0180,3.6098
11:15:12,385,0.4899,0.0203,3.6090
11:15:14,386,0.4890,0.0164,3.6186
11:15:15,387,0.4881,0.0227,3.6186
11:15:17,388,0.4872,0.0169,3.6144
11:15:18,389,0.4864,0.0220,3.6257
11:15:19,390,0.4855,0.0162,3.6410
11:15:20,391,0.4846,0.0146,3.6490
11:15:21,392,0.4837,0.0147,3.6708
11:15:23,393,0.4829,0.0110,3.6724
11:15:24,394,0.4820,0.0149,3.6930
11:15:25,395,0.4812,0.0135,3.7122
11:15:26,396,0.4803,0.0108,3.7248
11:15:28,397,0.4794,0.0134,3.7407
11:15:29,398,0.4786,0.0144,3.7480
11:15:30,399,0.4777,0.0122,3.7627
11:15:32,400,0.4769,0.0076,3.7558
11:15:33,401,0.4760,0.1712,3.7586
11:15:34,402,0.4752,0.1546,3.7759
11:15:36,403,0.4743,0.1438,3.8044
11:15:37,404,0.4735,0.1200,3.8393
11:15:38,405,0.4726,0.1076,3.8865
11:15:40,406,0.4718,0.0835,3.9341
11:15:41,407,0.4709,0.0689,3.9987
11:15:42,408,0.4701,0.0437,4.0655
11:15:43,409,0.4692,0.0238,4.1428
11:15:44,410,0.4684,0.0183,4.2083
11:15:45,411,0.4676,0.0188,4.2831
11:15:46,412,0.4667,0.0180,4.3325
11:15:48,413,0.4659,0.0203,4.4080
11:15:49,414,0.4651,0.0223,4.4419
11:15:50,415,0.4642,0.0351,4.4827
11:15:51,416,0.4634,0.0339,4.4980
11:15:53,417,0.4626,0.0299,4.5063
11:15:54,418,0.4618,0.0355,4.5059
11:15:55,419,0.4609,0.0320,4.4950
11:15:57,420,0.4601,0.0226,4.4729
11:15:58,421,0.4593,0.0197,4.4454
11:15:59,422,0.4585,0.0228,4.4215
11:16:00,423,0.4577,0.0168,4.3966
11:16:02,424,0.4569,0.0138,4.3551
11:16:03,425,0.4560,0.0168,4.3409
11:16:04,426,0.4552,0.0133,4.3146
11:16:06,427,0.4544,0.0167,4.2797
11:16:07,428,0.4536,0.0217,4.2477
11:16:08,429,0.4528,0.0169,4.2777
11:16:09,430,0.4520,0.0141,4.2444
11:16:10,431,0.4512,0.0195,4.2482
11:16:11,432,0.4504,0.0145,4.2468
11:16:13,433,0.4496,0.0180,4.2874
11:16:14,434,0.4488,0.0183,4.2469
11:16:15,435,0.4480,0.0210,4.2698
11:16:16,436,0.4472,0.0183,4.3044
11:16:18,437,0.4464,0.0204,4.2878
11:16:19,438,0.4456,0.0175,4.3095
11:16:20,439,0.4448,0.0135,4.2954
11:16:21,440,0.4440,0.0144,4.3433
11:16:22,441,0.4433,0.0199,4.3509
11:16:23,442,0.4425,0.0159,4.3575
11:16:24,443,0.4417,0.0233,4.3800
11:16:25,444,0.4409,0.0210,4.3674
11:16:26,445,0.4401,0.0194,4.3699
11:16:27,446,0.4393,0.0181,4.3791
11:16:29,447,0.4386,0.0131,4.3799
11:16:30,448,0.4378,0.0154,4.3794
11:16:31,449,0.4370,0.0120,4.3585
11:16:32,450,0.4362,0.0147,4.3669
11:16:33,451,0.4355,0.3529,4.3626
11:16:34,452,0.4347,0.3224,4.3693
11:16:35,453,0.4339,0.3130,4.3802
11:16:36,454,0.4332,0.3153,4.4246
11:16:37,455,0.4324,0.2746,4.4826
11:16:38,456,0.4316,0.2318,4.5444
11:16:39,457,0.4309,0.2055,4.5938
11:16:40,458,0.4301,0.1447,4.6519
11:16:41,459,0.4294,0.0876,4.7554
11:16:43,460,0.4286,0.0486,4.8078
11:16:44,461,0.4278,0.0431,4.8847
11:16:45,462,0.4271,0.0232,5.0272
11:16:46,463,0.4263,0.0192,5.0579
11:16:47,464,0.4256,0.0245,5.1182
11:16:48,465,0.4248,0.0310,5.2026
11:16:49,466,0.4241,0.0327,5.1976
11:16:50,467,0.4233,0.0445,5.2427
11:16:51,468,0.4226,0.0382,5.2396
11:16:52,469,0.4218,0.0400,5.2457
11:16:53,470,0.4211,0.0360,5.2459
11:16:54,471,0.4204,0.0113,5.2187
