timestamp,rnti,e2_node,f1ap,slice_sd,slice_name,cqi,ri,dl_mcs,ul_mcs,pusch_snr_db,pusch_rsrp_db,phr,dl_brate_bps,ul_brate_bps,dl_nof_ok,dl_nof_nok,dl_latency_us,ul_latency_us,prb_min,prb_max,alloc_req_bps,sla_dl_target_bps
1781623942.168,61442,gnbd_001_001_00000213_2,0,1,CRITICAL,15,1,28,1,2.1,-0.0,0,70048.0,833968.0,52,0,0,0,,,,300000
1781623942.168,61444,gnbd_001_001_00000213_2,1,2,PERFORMANCE,15,1,28,4,1.2,-0.1,0,38568.0,485096.0,29,0,0,0,,,,300000
1781623942.168,61446,gnbd_001_001_00000213_2,2,3,BUSINESS,15,1,28,2,1.4,-0.2,0,32192.0,531256.0,24,0,0,0,,,,20000000
1781623943.17,61441,gnbd_001_001_00000213_1,0,1,CRITICAL,12,1,0,3,2.7,0,0,0.0,571520.0,0,0,0,0,2,17,300000,300000
1781623943.17,61443,gnbd_001_001_00000213_1,1,2,PERFORMANCE,15,1,28,4,3.1,0,0,90656.0,600880.0,68,0,0,0,2,17,300000,300000
1781623943.17,61445,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,4,3.8,0,0,88208.0,557440.0,66,0,0,0,0,15,0,20000000
1781623943.17,61442,gnbd_001_001_00000213_2,0,1,CRITICAL,15,1,28,1,2.1,-0.0,0,70048.0,833968.0,52,0,0,0,2,17,300000,300000
1781623943.17,61444,gnbd_001_001_00000213_2,1,2,PERFORMANCE,15,1,28,4,1.2,-0.1,0,38568.0,485096.0,29,0,0,0,2,17,300000,300000
1781623943.17,61446,gnbd_001_001_00000213_2,2,3,BUSINESS,15,1,28,2,1.4,-0.2,0,32192.0,531256.0,24,0,0,0,0,15,0,20000000
1781623944.173,61441,gnbd_001_001_00000213_1,0,1,CRITICAL,15,1,0,4,2.5,0,0,0.0,619784.0,0,0,0,0,2,17,300000,300000
